"SECTOR_OID","SECTOR","BUSINSS_ACT_ID","ACTIVITY_TITLE"
"1000431","Nutritionist services","362","Practise as a dietitian "
"1000431","Nutritionist services","1002","Use CCTV systems"
"1000433","Optometry","365","Practise as an orthoptist "
"1000433","Optometry","1003","Offer credit to your customers"
"1000434","Physiotherapy","166","Offer special treatments such as massage, beauty treatments etc at your premises"
"1000434","Physiotherapy","1001","Process personal information about any individuals including customers, employees etc"
"1000437","Veterinary services","241","Put an advertising board on the pavement or verge"
"1000437","Veterinary services","220","Keep non-native animals, fish, or plants, or release them into the wild."
"1000438","Occupational therapy","1001","Process personal information about any individuals including customers, employees etc"
"1000440","Hospitals","364","Practise as an operating department practitioner "
"1000440","Hospitals","361","Practise as a clinical scientist "
"1000440","Hospitals","31","Exhibit films, videos or DVDs"
"1000444","Homeopathy","166","Offer special treatments such as massage, beauty treatments etc at your premises"
"1000447","Chiropractic","1002","Use CCTV systems"
"1000451","Childrens homes","1001","Process personal information about any individuals including customers, employees etc"
"1000451","Childrens homes","1000","Play background music in your premises"
"1000452","Retirement homes","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000453","Childrens day care centres","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000453","Childrens day care centres","265","Use radio or television recordings for educational purposes"
"1000453","Childrens day care centres","83","Collect or sell things door-to-door or in a public place for charity"
"1000453","Childrens day care centres","1056","Carry out criminal record checks"
"1000454","Nanny services","1001","Process personal information about any individuals including customers, employees etc"
"1000459","Beautician services","289","Offer special treatments such as chiropody at your premises"
"1000459","Beautician services","167","Offer treatments involving lasers or intense pulsed light systems"
"1000462","Tattoo parlours","235","Offer tattooing services"
"1000463","Tanning salons","1002","Use CCTV systems"
"1000463","Tanning salons","1000","Play background music in your premises"
"1000471","Party planning","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000475","Primary education","403","Produce or photocopy hymns or worship song booksor song sheets"
"1000478","Business and professional training","265","Use radio or television recordings for educational purposes"
"1000478","Business and professional training","241","Put an advertising board on the pavement or verge"
"1000479","Technical and vocational training","1083","Work as a teacher"
"1000479","Technical and vocational training","267","Make copies of newspaper cuttings for educational purposes"
"1000479","Technical and vocational training","1002","Use CCTV systems"
"1000479","Technical and vocational training","1001","Process personal information about any individuals including customers, employees etc"
"1000480","Language instruction","265","Use radio or television recordings for educational purposes"
"1000480","Language instruction","31","Exhibit films, videos or DVDs"
"1000481","Fine art instruction","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000481","Fine art instruction","267","Make copies of newspaper cuttings for educational purposes"
"1000481","Fine art instruction","1002","Use CCTV systems"
"1000483","Athletic instruction","188","Make copies of extracts from books, magazines or journals for business use"
"1000484","Personal development instruction","188","Make copies of extracts from books, magazines or journals for business use"
"1000484","Personal development instruction","1001","Process personal information about any individuals including customers, employees etc"
"1000487","Artists and artists companies","1070","Busk"
"1000487","Artists and artists companies","266","Make copies of newspaper cuttings for business use"
"1000487","Artists and artists companies","1001","Process personal information about any individuals including customers, employees etc"
"1000488","Arts and entertainment agencies","1050","Train, exhibit or use performing animals"
"1000488","Arts and entertainment agencies","1001","Process personal information about any individuals including customers, employees etc"
"1000488","Arts and entertainment agencies","1000","Play background music in your premises"
"1000489","Arts and entertainment facility operation","1174","Organise live music events, eg concerts or festivals"
"1000490","Ticket agencies","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000493","Museums and gallery operation","311","Loan works of art or other cultural goods for exhibition abroad"
"1000493","Museums and gallery operation","242","Use a premises for a theatrical performance"
"1000494","Heritage site operation","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000494","Heritage site operation","1000","Play background music in your premises"
"1000497","Sports and athletic agencies","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000497","Sports and athletic agencies","1002","Use CCTV systems"
"1000498","Sports facility operation","223","Run a horse riding establishment"
"1000498","Sports facility operation","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000499","Fitness centre operation","1003","Offer credit to your customers"
"1000500","Outdoor adventure centre operation","197","Possess a shotgun or other firearm"
"1000501","Racehorse owning and training","376","Own a horse, pony or donkey"
"1000501","Racehorse owning and training","1003","Offer credit to your customers"
"1000505","Bingo hall operation","1058","Hold an ad hoc event"
"1000429","Dental hygienist services","299","Use X-ray equipment"
"1000429","Dental hygienist services","1000","Play background music in your premises"
"1000430","Chiropody","360","Practise as a chiropodist or podiatrist "
"1079055119","Graphic design services","1002","Use CCTV systems"
"1079055119","Graphic design services","1001","Process personal information about any individuals including customers, employees etc"
"1079055372","Interior design services","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1079055374","Fashion design services","188","Make copies of extracts from books, magazines or journals for business use"
"1000049","Architectural services","266","Make copies of newspaper cuttings for business use"
