legal ref nr,Formality_name,LGSL_ID,Legislation,Numeric_Admins,New code?
1910301,Miscellaneous Payments,349,None - special formality to pay fee shortfalls,7,349-7-1
120301,Animal boarding establishment licence,374,Animal Boarding Establishments Act 1963,6,374-6-1
1120301,Pet shop licence,375,Pet Animals Act 1951,6,375-6-1
1460301,Scrap metal dealer registration,378,Scrap Metal Dealers' Act 1964,5,378-5-1
200111,Auction premises registration,379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200131,Auction premises registration,379,South Yorkshire Act 1980,1,379-1-1
200151,Auction premises registration,379,Nottingham City Council Act 2003,1,379-1-1
200161,Auction premises registration,379,County of Lancashire Act 1984,1,379-1-1
200171,Auction premises registration,379,Humberside Act 1982,1,379-1-1
200301,Auction premises registration,379,Greater London Council (general Powers) act 1984 Part VI,1,379-1-1
200411,Auction premises registration,379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200431,Auction premises registration,379,South Yorkshire Act 1980,1,379-1-1
200451,Auction premises registration,379,Nottingham City Council Act 2003,1,379-1-1
200461,Auction premises registration,379,County of Lancashire Act 1984,1,379-1-1
200471,Auction premises registration,379,Humberside Act 1982,1,379-1-1
1940301,Occupation of the road in connection with building work,382,Highways Act 1980,5,382-5-1
1940302,Occupation of the road in connection with building work,382,Roads (Scotland) Act 1984,3,381-3-1
1500301,Sex shop and cinema licence,388,Local Government (Miscellaneous Provisions) Act 1982,5,388-5-1
1500302,Sex establishment / sex cinema,388,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)) Schedule 2,4,388-4-1
1500303,Sex shop,388,"Civic Government (Scotland) Act 1982, Section 45",3,388-3-1
940111,Massage and special treatment premises licensing,389,Essex Act 1987,5,389-5-1
940131,Massage and special treatment premises licensing,389,Nottinghamshire County Council Act 1985,1,389-1-1
940171,Massage and special treatment premises licensing,389,London County Council (General Powers) Act 1920,1,389-1-1
940172,Massage and special treatment premises licensing,389,Worcester City Council Act 1985,5,389-5-1
940173,Massage and special treatment premises licensing,389,Birmingham City Council Act 1990,5,389-5-1
940301,Massage and special treatment premises licensing,389,Byelaw under Local Government(Miscellaneous Provisions) Act 1982,5,389-5-1
940411,Massage and special treatment premises licensing,389,Essex Act 1987,5,389-5-1
940421,Massage and special treatment premises licensing,389,London Local Authorities Act 1991,1,389-1-1
940431,Massage and special treatment premises licensing,389,Nottinghamshire County Council Act 1985,1,389-1-1
940471,Massage and special treatment premises licensing,389,London County Council (General Powers) Act 1920,1,389-1-1
940472,Massage and special treatment premises licensing,389,Worcester City Council Act 1985,5,389-5-1
940473,Massage and special treatment premises licensing,389,Birmingham City Council Act 1990,5,389-5-1
590301,Food premises registration,390,EC Regulation 852/2004 (Food Premises),6,remove
820301,Late hours catering licence,391,"Civic Government (Scotland) Act 1982, Section 42",3,391-3-1
780301,Entertainment,393,Local Government (Miscellaneous Provisions) (Northern Ireland)- Order 1985,4,393-4-1
780302,Indoor sports entertainment licence,393,"Civic Government (Scotland) Act 1982, Section 41A",3,393-3-1
785301,Public entertainment licence,393,"Civic Government (Scotland) Act 1982, Section 41",3,393-3-2
1621301,Theatre licence,395,Theatres Act 1968,3,395-3-1
1590011,Street trading licence,400,London Local Authorities Act 1991 as amended,1,400-1-1
1590021,Street trading licence,400,London Local Authorities Act 1990,1,400-1-1
1590031,Street trading licence,400,London Local Authorities Act 1990 as amended,1,400-1-1
1590041,Street trading licence,400,City of London (Various Powers) Act 1987 Part III,1,400-1-1
1590051,Street trading licence,400,London Local Authorities Act 1994 as amended,1,400-1-1
1590061,Street trading licence,400,Hampshire Act 1983 Section 7,1,400-1-1
1590081,Street trading licence,400,City of Westminster Act 1999,5,400-5-1
1590301,Street trading licence,400,Local Government (Miscellaneous Provisions) Act 1982,5,400-5-1
1590302,Street trading licence,400,Street Trading Act (Northern Ireland) 2001,4,400-4-1
1590303,Street trader's licence,400,"Civic Government (Scotland) Act 1982, Section 39",3,400-3-1
1590311,Street trading licence,400,London Local Authorities Act 1991 as amended,1,400-1-1
1590321,Street trading licence,400,London Local Authorities Act 1990,1,400-1-1
1590331,Street trading licence,400,London Local Authorities Act 1990 as amended,1,400-1-1
1590341,Street trading licence,400,City of London (Various Powers) Act 1987 Part III,1,400-1-1
1590351,Street trading licence,400,London Local Authorities Act 1994 as amended,1,400-1-1
1590361,Street trading licence,400,Hampshire Act 1983 Section 7,1,400-1-1
1590371,Street trading licence,400,City of Newcastle Upon Tyne Act 2000,5,400-5-1
1590381,Street trading licence,400,City of Westminster Act 1999,5,400-5-1
1520301,Skip licence,521,"Highways Act 1980, Section 139",5,521-5-1
1520302,Skip licence,521,"Roads (Scotland) Act 1984,  Section 85",3,521-3-1
930111,Market stall licence,616,By Royal Charter,5,616-5-1
930121,Market stall licence,616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930131,Market stall licence,616,London Local Authorities Act 1990,5,616-5-1
930141,Market stall licence,616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930161,Market stall licence,616,London Local Authorities Act 1990 as amended,5,616-5-1
930171,Market stall licence,616,Byelaws made under S61 of Food and Drugs Act 1955 (as replaced by S60 of Food Act 1984),5,616-5-1
930181,Market stall licence,616,Highways Act 1980 Section 115E,5,616-5-1
930201,Market stall licence,616,"Hitchin Market Tolls 1882, Food Act 1984",5,616-5-1
930211,Market stall licence,616,Local Land Authorities Act 1990,5,616-5-1
930212,Market stall licence,616,Tyne & Wear Act 1976,5,616-5-1
930213,Market stall licence,616,Northampton Act 1988,5,616-5-1
930214,Market stall licence,616,Barnstaple Markets Act 1852,5,616-5-1
930215,Market stall licence,616,Norwich City Council Act 1984,5,616-5-1
930216,Market stall licence,616,By Market Charter,5,616-5-1
930217,Market stall licence,616,Food Act 1984,5,616-5-1
930218,Market stall licence,616,Sheffield Markets Act 1872,5,616-5-1
930219,Market stall licence,616,Fenland District Council Market Byelaws 1-10-92,5,616-5-1
930301,Market stall licence,616,Markets and Fairs Clauses Act 1847,5,616-5-1
